date,hdax_open,hdax_close,total_cases,new_cases,stringency_index,containment_index,Monday,Tuesday,Wednesday,Thursday,Friday
2020-01-27,7495.74,7384.52,1.0,1.0,5.56,13.1,1,0,0,0,0
2020-01-28,7410.6,7445.94,4.0,3.0,5.56,13.1,0,1,0,0,0
2020-01-29,7447.53,7468.15,4.0,0.0,5.56,13.1,0,0,1,0,0
2020-01-30,7377.06,7365.71,4.0,0.0,5.56,13.1,0,0,0,1,0
2020-01-31,7382.92,7278.96,5.0,1.0,5.56,13.1,0,0,0,0,1
2020-02-03,7303.46,7312.05,12.0,2.0,5.56,13.1,1,0,0,0,0
2020-02-04,7341.38,7443.3,12.0,0.0,5.56,13.1,0,1,0,0,0
2020-02-05,7434.03,7542.78,12.0,0.0,5.56,13.1,0,0,1,0,0
2020-02-06,7572.46,7590.21,12.0,0.0,5.56,13.1,0,0,0,1,0
2020-02-07,7568.09,7551.11,13.0,1.0,5.56,13.1,0,0,0,0,1
2020-02-10,7533.0,7547.96,14.0,0.0,5.56,13.1,1,0,0,0,0
2020-02-11,7587.02,7630.2,16.0,2.0,5.56,13.1,0,1,0,0,0
2020-02-12,7643.27,7683.34,16.0,0.0,11.11,16.67,0,0,1,0,0
2020-02-13,7663.57,7671.78,16.0,0.0,11.11,16.67,0,0,0,1,0
2020-02-14,7682.9,7667.47,16.0,0.0,11.11,16.67,0,0,0,0,1
2020-02-17,7675.61,7691.41,16.0,0.0,11.11,16.67,1,0,0,0,0
2020-02-18,7627.84,7632.92,16.0,0.0,11.11,16.67,0,1,0,0,0
2020-02-19,7662.64,7698.5,16.0,0.0,11.11,16.67,0,0,1,0,0
2020-02-20,7693.06,7635.53,16.0,0.0,11.11,16.67,0,0,0,1,0
2020-02-21,7600.56,7586.2,16.0,0.0,11.11,16.67,0,0,0,0,1
2020-02-24,7412.44,7282.65,16.0,0.0,11.11,16.67,1,0,0,0,0
2020-02-25,7315.52,7146.96,17.0,1.0,11.11,16.67,0,1,0,0,0
2020-02-26,7080.95,7123.72,27.0,10.0,16.67,20.24,0,0,1,0,0
2020-02-27,7005.96,6890.99,46.0,19.0,16.67,20.24,0,0,0,1,0
2020-02-28,6645.63,6630.07,48.0,2.0,19.44,24.4,0,0,0,0,1
2020-03-02,6738.28,6613.65,159.0,29.0,25.0,27.98,1,0,0,0,0
2020-03-03,6698.17,6706.24,196.0,37.0,25.0,27.98,0,1,0,0,0
2020-03-04,6708.24,6772.21,262.0,66.0,25.0,27.98,0,0,1,0,0
2020-03-05,6812.8,6666.09,482.0,220.0,25.0,27.98,0,0,0,1,0
2020-03-06,6533.05,6430.74,670.0,188.0,25.0,27.98,0,0,0,0,1
2020-03-09,5948.35,5932.03,1176.0,136.0,28.7,30.36,1,0,0,0,0
2020-03-10,5954.55,5860.69,1457.0,281.0,32.87,33.04,0,1,0,0,0
2020-03-11,5937.23,5823.93,1908.0,451.0,32.87,33.04,0,0,1,0,0
2020-03-12,5524.46,5121.02,2078.0,170.0,32.87,33.04,0,0,0,1,0
2020-03-13,5315.99,5164.19,3675.0,1597.0,32.87,33.04,0,0,0,0,1
2020-03-16,4929.29,4891.91,7272.0,1477.0,42.13,38.99,1,0,0,0,0
2020-03-17,5070.55,4951.66,9257.0,1985.0,42.13,38.99,0,1,0,0,0
2020-03-18,4816.27,4658.54,12327.0,3070.0,52.31,41.96,0,0,1,0,0
2020-03-19,4665.29,4769.83,15320.0,2993.0,55.09,43.75,0,0,0,1,0
2020-03-20,5054.73,4975.21,19848.0,4528.0,57.87,45.54,0,0,0,0,1
2020-03-23,4792.93,4849.43,29056.0,4183.0,76.85,62.5,1,0,0,0,0
2020-03-24,5120.99,5329.9,32986.0,3930.0,76.85,62.5,0,1,0,0,0
2020-03-25,5504.87,5437.88,37323.0,4337.0,76.85,62.5,0,0,1,0,0
2020-03-26,5346.13,5550.97,43938.0,6615.0,76.85,62.5,0,0,0,1,0
2020-03-27,5452.32,5343.0,50871.0,6933.0,76.85,62.5,0,0,0,0,1
2020-03-30,5395.14,5415.54,66885.0,4790.0,76.85,62.5,1,0,0,0,0
2020-03-31,5507.06,5484.82,71808.0,4923.0,76.85,62.5,0,1,0,0,0
2020-04-01,5431.14,5272.7,77872.0,6064.0,76.85,64.29,0,0,1,0,0
2020-04-02,5298.16,5282.57,84794.0,6922.0,76.85,64.29,0,0,0,1,0
2020-04-03,5263.35,5255.62,91159.0,6365.0,76.85,64.29,0,0,0,0,1
2020-04-06,5454.95,5534.86,103374.0,3251.0,76.85,65.18,1,0,0,0,0
2020-04-07,5740.46,5684.84,107663.0,4289.0,76.85,65.18,0,1,0,0,0
2020-04-08,5651.23,5689.6,113296.0,5633.0,76.85,65.18,0,0,1,0,0
2020-04-09,5769.21,5815.18,118181.0,4885.0,76.85,65.18,0,0,0,1,0
2020-04-14,5901.87,5886.36,131359.0,1287.0,76.85,65.18,0,1,0,0,0
2020-04-15,5873.97,5666.4,134753.0,3394.0,76.85,65.18,0,0,1,0,0
2020-04-16,5738.99,5679.56,137698.0,2945.0,76.85,65.18,0,0,0,1,0
2020-04-17,5759.87,5853.69,141397.0,3699.0,76.85,65.18,0,0,0,0,1
2020-04-20,5899.37,5879.03,147065.0,1881.0,76.85,65.18,1,0,0,0,0
2020-04-21,5795.08,5657.96,148291.0,1226.0,76.85,65.18,0,1,0,0,0
2020-04-22,5721.37,5749.44,150648.0,2357.0,76.85,65.18,0,0,1,0,0
2020-04-23,5760.85,5803.74,153129.0,2481.0,76.85,65.18,0,0,0,1,0
2020-04-24,5701.73,5710.25,154999.0,1870.0,76.85,65.18,0,0,0,0,1
2020-04-27,5801.21,5861.92,158758.0,988.0,76.85,66.07,1,0,0,0,0
2020-04-28,5872.15,5934.96,159912.0,1154.0,76.85,66.07,0,1,0,0,0
2020-04-29,5943.83,6104.84,161539.0,1627.0,76.85,70.83,0,0,1,0,0
2020-04-30,6150.63,5980.46,163009.0,1470.0,76.85,70.83,0,0,0,1,0
2020-05-04,5861.15,5778.47,166152.0,488.0,71.76,67.56,1,0,0,0,0
2020-05-05,5841.5,5929.29,167007.0,855.0,71.76,67.56,0,1,0,0,0
2020-05-06,5922.47,5868.11,168162.0,1155.0,66.2,63.99,0,0,1,0,0
2020-05-07,5892.52,5972.97,169430.0,1268.0,64.35,62.8,0,0,0,1,0
2020-05-08,6024.19,6045.76,170588.0,1158.0,64.35,62.8,0,0,0,0,1
2020-05-11,6070.42,6004.25,172576.0,697.0,64.35,62.8,1,0,0,0,0
2020-05-12,5978.77,5994.82,173171.0,595.0,64.35,61.61,0,1,0,0,0
2020-05-13,5920.36,5862.03,174098.0,927.0,64.35,61.61,0,0,1,0,0
2020-05-14,5796.08,5744.28,174478.0,380.0,64.35,61.61,0,0,0,1,0
2020-05-15,5803.79,5811.23,175233.0,755.0,64.35,61.61,0,0,0,0,1
2020-05-18,5916.2,6115.62,176551.0,182.0,61.57,59.82,1,0,0,0,0
2020-05-19,6179.97,6127.36,177778.0,1227.0,59.72,57.44,0,1,0,0,0
2020-05-20,6102.45,6208.41,178473.0,695.0,59.72,57.44,0,0,1,0,0
2020-05-21,6141.64,6135.2,179021.0,548.0,59.72,57.44,0,0,0,1,0
2020-05-22,6048.7,6146.78,179710.0,689.0,59.72,57.44,0,0,0,0,1
2020-05-25,6197.39,6318.42,180600.0,272.0,59.72,57.44,1,0,0,0,0
